,id,construidos_m,utiles_m,habitaciones,baños,terraza,balcon,estado,orientacion,garaje,año_construido,calefaccion,planta,ascensor,aire_acondicionado,zonas_verdes_o_jardin,ciudad,zona,etiqueta_energetica,precio,precio_anterior,titulo_anuncio
70,70,88.0,74.0,2.0,1.0,NO,SI,Buen estado,no_definido,SI,2008.0,SI,1,SI,SI,NO,Igualada,Ponent,b,177000,177000,Piso en venta en calle de Sor Rita Mercader
71,71,70.0,61.0,2.0,2.0,NO,NO,Buen estado,sur,NO,2007.0,SI,1,SI,NO,NO,Igualada,Igualada,e,115100,115100,Piso en venta en Llevant
72,72,55.0,43.0,3.4526315789473685,1.0,NO,SI,Buen estado,no_definido,NO,2012.0,NO,1,SI,NO,NO,Igualada,Igualada,e,62000,62000,Piso en venta en Llevant
73,73,55.0,43.0,3.4526315789473685,1.0,NO,SI,Buen estado,no_definido,NO,2012.0,NO,2,SI,NO,NO,Igualada,Igualada,e,70000,70000,Piso en venta en Llevant
74,74,98.0,77.0,3.0,2.0,NO,SI,Buen estado,no_definido,NO,2012.0,NO,1,SI,NO,NO,Igualada,Igualada,e,118000,118000,Piso en venta en Llevant
75,75,98.0,77.0,3.0,2.0,NO,SI,Buen estado,no_definido,NO,2012.0,NO,2,SI,NO,NO,Igualada,Igualada,e,126000,126000,Piso en venta en Llevant
76,76,79.0,74.0,3.0,1.0,NO,NO,Buen estado,no_definido,NO,1982.0,NO,3,SI,NO,NO,Igualada,Pla de Sant Magi,e,135500,141500,"Piso en venta en calle d'Ãdena, 122"
77,77,75.0,71.0,3.0,1.0,NO,NO,Buen estado,no_definido,NO,1984.2057416267942,NO,2,NO,NO,NO,Igualada,Igualada,NO,132500,132500,Piso en venta en Centre
78,78,112.0,101.0,4.0,2.0,SI,NO,Buen estado,este,NO,1978.0,SI,4,NO,NO,NO,Igualada,Igualada,g,162000,162000,Ãtico en venta en Pla de Sant Magi
79,79,76.0,68.0,3.0,1.0,SI,NO,Buen estado,este,NO,1971.0,SI,2,NO,NO,NO,Igualada,Igualada,f,130000,130000,Piso en venta en Ponent
80,80,92.0,74.0,2.0,1.0,SI,NO,Buen estado,no_definido,NO,1967.0,SI,4,SI,NO,NO,Igualada,Igualada,e,119000,119000,Piso en venta en Ponent
81,81,119.0,100.0,3.0,2.0,SI,NO,Buen estado,sur,SI,2001.0,SI,3,SI,SI,NO,Igualada,Igualada,f,239000,239000,Piso en venta en Centre
82,82,98.0,59.0,3.0,2.0,SI,NO,Buen estado,sur,SI,2006.0,SI,3,SI,SI,NO,Igualada,Ponent,NO,179000,179000,DÃºplex en venta en calle de MilÃ  i Fontanals
83,83,46.0,46.0,3.4526315789473685,1.0,NO,NO,Por reformar,no_definido,NO,1984.2057416267942,NO,1,NO,NO,NO,Igualada,Centre,NO,200000,200000,Piso en venta en calle de J. MartÃ­ i Franquesa
84,84,90.0,90.0,3.0,1.0,SI,NO,Buen estado,no_definido,NO,1984.2057416267942,NO,3,NO,NO,NO,Igualada,Llevant,e,115000,115000,Piso en venta en calle de Celdoni GuixÃ 
85,85,109.0,83.0,4.0,2.0,SI,SI,Buen estado,no_definido,NO,2006.0,NO,4,SI,NO,NO,Igualada,Llevant,e,162000,162000,DÃºplex en venta en calle de Salvador Murt
86,86,160.0,140.0,3.0,1.0,SI,SI,Por reformar,oeste,NO,1968.0,SI,2,NO,NO,NO,Igualada,Ponent,e,139000,139000,Chalet pareado en venta en avenida de Ntra. Sra. de la Pietat
87,87,109.0,85.0,3.0,2.0,NO,SI,Buen estado,no_definido,NO,2006.0,SI,3,SI,SI,NO,Igualada,Llevant,g,162000,162000,DÃºplex en venta en calle de Salvador Murt
